issue_key,issue_summary,project_key,status_name,priority_name,Cycle Time (hours),Total Days,issue_age_days,Total Time Logged (hours),worklog_total,Worklog Count,Transition Count,Reassignment Count,Reopen Count,Priority Changes,process_overhead,handoff_complexity,Blocking Issues,Blocked By Issues,Number of Inward Links,Number of Outward Links,dependency_complexity,coordination_complexity,work_sessions,comment_count,communication_overhead,collaboration_intensity,rework_indicator,has_rework,is_long_running,is_stale,bottleneck_score,is_bottleneck
ZBX-16162,Draw Graph line complete when Discarding values with Heartbeat,ZBX,Resolved,Critical,,,,22.5,7.0,7,80,49,1,2,80,49,0,0,7,8,15,50.9,7,91,198,121,True,True,False,0,0.2731233754025675,1
OLMIS-741,Create a simple requisition with additional stock information,OLMIS,Done,Critical,3301.910893,137.0,3548.0,88.0,21.0,20,22,12,0,1,22,12,1,12,15,4,32,18.3,20,23,45,36,False,False,True,1,0.2697045710876358,1
OLMIS-2711,Change Physical Inventory to include reasons for discrepancy,OLMIS,Done,Major,1523.135123,63.0,3167.0,33.0,30.0,20,25,24,0,0,25,24,1,1,4,6,18,29.3,20,67,89,79,False,False,True,1,0.2624563357943519,1
ZBX-7706,Slow queries when checking permissions,ZBX,Closed,Major,74715.94417,3113.0,,0.0,0.0,0,48,30,4,2,48,30,0,0,4,3,7,26.2,0,28,88,51,True,True,True,0,0.26240782752207303,1
ZBXNEXT-7410,Introduce inline form validation - Hosts,ZBXNEXT,Closed,Major,30143.39417,1255.0,,64.63333333,47.0,20,66,49,1,0,66,49,0,0,1,4,5,21.7,20,3,48,27,True,True,True,0,0.26056234106842824,1
ZBXNEXT-276,LDAP authentication with groups support,ZBXNEXT,Closed,Major,112676.5606,4694.0,,0.0,0.0,0,45,35,1,0,45,35,0,0,4,10,26,54.5,0,97,293,130,True,True,True,0,0.25883074993994626,1
ZBXNEXT-7048,"Convert ""config"" table to key-value format",ZBXNEXT,Closed,Minor,28970.63444,1207.0,,81.0,144.0,20,39,36,1,0,39,36,0,0,3,2,5,20.0,20,4,48,26,True,True,True,0,0.25797941101925936,1
ZBXNEXT-9805,Gmail (Google) is disabling Less Secure Apps. Zabbix mail doesn't work anymore,ZBXNEXT,Closed,Trivial,27527.22833,1146.0,,54.0,164.0,20,43,30,1,0,43,30,0,0,1,1,4,24.6,20,16,69,39,True,True,True,0,0.25746520617228896,1
OLMIS-760,Create a basic requisition,OLMIS,Done,Critical,3163.561766,131.0,3541.0,68.25,56.0,20,29,16,0,1,29,16,1,1,2,5,9,29.7,20,71,90,81,False,False,True,1,0.25744645844928427,1
ZBXNEXT-2122,"User type ""Zabbix User"" can't modify media in their own profile",ZBXNEXT,Closed,Minor,98949.1625,4122.0,,56.75,14.0,14,25,24,0,0,25,24,0,0,3,4,7,27.6,14,18,74,47,False,False,True,0,0.2571852563237521,1
ZBXNEXT-875,A way to control z order of icons on a map (z-index),ZBXNEXT,Closed,Major,120868.9194,5036.0,,122.5,56.0,20,30,22,0,0,30,22,0,0,6,1,7,20.4,20,12,50,32,False,False,True,0,0.25520001469875675,1
ZBXNEXT-1527,cascaded/nested lld,ZBXNEXT,Doc. sign-off,Trivial,,,,125.5,102.0,20,47,41,0,0,47,41,0,0,4,9,13,39.1,20,47,174,80,False,False,False,0,0.2548802285317677,1
ZBX-23760,Disabled action can be enabled back with broken condition expression,ZBX,Closed,Critical,11876.73306,494.0,,75.83333333,34.0,20,70,60,0,2,70,60,0,0,6,2,8,24.7,20,7,58,32,False,False,True,0,0.25312876654944927,1
ZBXNEXT-2043,Add functions for VMWare monitoring,ZBXNEXT,Closed,Trivial,89302.745,3720.0,,0.0,0.0,0,48,22,16,0,48,22,0,0,1,6,11,29.3,0,51,122,71,True,True,True,0,0.2525612909915784,1
ZBXNEXT-599,Logarithmic scale for Y-axis in graphs,ZBXNEXT,Closed,Minor,121796.14,5074.0,,143.5,33.0,20,25,20,0,0,25,20,0,0,1,2,3,29.7,20,33,105,60,False,False,True,0,0.2521982512244709,1
ZBX-24500,Zabbix agent PSK key change with minimal write privileges can bring down proxy connection,ZBX,Closed,Critical,4176.456111,174.0,,72.25,39.0,20,51,31,2,1,51,31,0,0,0,0,0,13.6,20,6,32,19,True,True,True,0,0.25129153080740996,1
ZBX-26436,Parallel execution of Zabbix API host.delete may fail.,ZBX,Closed,Blocker,1634.461111,68.0,,93.0,38.0,20,32,17,2,1,32,17,0,0,2,2,4,11.8,20,4,28,17,True,True,True,0,0.2510231929239346,1
FOLIO-1043,integrate ui-testing with PR,FOLIO,Closed,P3,9936.901389,414.0,,84.0,70.0,20,5,0,0,2,5,0,0,10,19,7,36,13.3,20,31,46,37,False,False,True,0,0.2506608673960923,1
ZBXNEXT-18,Send an alert after trigger being acknowledged,ZBXNEXT,Closed,Critical,80710.26611,3362.0,,0.0,0.0,0,82,49,1,0,82,49,0,0,4,5,12,33.5,0,55,135,74,True,True,True,0,0.24959436695638026,1
ZBX-3783,Proper API validation,ZBX,Reopened,Trivial,,,,0.0,0.0,0,25,25,1,3,25,25,0,0,44,10,54,49.1,0,111,161,132,True,True,False,0,0.24931427413752427,1
ANDROAPP-5130,Follow-up clicks can be skipped by the app when entering data into tables.,ANDROAPP,Done,High,7269.463451,302.0,1166.0,0.0,0.0,0,59,32,2,2,59,32,1,3,3,1,8,14.4,0,22,36,31,True,True,True,1,0.2487634674521606,1
OLMIS-924,Configure Average Consumption,OLMIS,Done,Blocker,4044.722256,168.0,3480.0,42.0,15.0,15,17,17,0,1,17,17,2,1,2,2,10,23.6,15,54,74,63,False,False,True,1,0.24704803320970103,1
ZBXNEXT-5878,Enhance permission checking/handling,ZBXNEXT,Closed,Major,33476.5075,1394.0,,0.0,0.0,0,19,17,1,3,19,17,0,0,8,6,16,27.2,0,22,100,51,True,True,True,0,0.24608001216390096,1
ANDROAPP-5249,Resizing for all columns difficult use,ANDROAPP,Done,High,5825.40351,242.0,1086.0,0.0,0.0,0,41,24,1,1,41,24,3,3,6,9,21,13.6,0,16,32,26,True,True,True,1,0.2459988021149524,1
OLMIS-1009,Print a requisition,OLMIS,Done,Critical,3878.006056,161.0,3453.0,77.0,48.0,20,24,27,0,1,24,27,1,0,1,2,4,16.7,20,27,44,38,False,False,True,1,0.2457872274050884,1
OLMIS-1004,"UI: Initiate a requisition for ""My Facilities""",OLMIS,Done,Major,1286.158717,53.0,3458.0,106.5,33.0,20,21,21,0,0,21,21,1,1,2,2,6,21.5,20,43,61,54,False,False,True,1,0.24417293442975774,1
DNN-9998,Pages: Search Results,DNN,Closed,Low,5249.444834,218.0,3153.0,0.0,0.0,0,46,33,9,0,46,33,0,8,8,1,22,17.6,0,22,44,35,True,True,True,1,0.2438784388380424,1
ZBX-3924,frontend and daemons use different regexps,ZBX,Closed,Critical,51738.31417,2155.0,,0.0,0.0,0,20,30,2,0,20,30,0,0,8,2,10,26.9,0,39,79,57,True,True,True,0,0.24373640347547898,1
ZBXNEXT-1085,restrict available checks on the agent side,ZBXNEXT,Closed,Minor,70103.20833,2920.0,,0.0,0.0,0,51,27,2,0,51,27,0,0,2,3,5,20.5,0,27,55,43,True,True,True,0,0.2434605687457979,1
ZBXNEXT-9028, Consistent device naming on linux,ZBXNEXT,Closed,Minor,13418.01722,559.0,,41.0,13.0,13,30,8,2,0,30,8,0,0,0,2,5,20.7,13,35,58,48,True,True,True,0,0.24302409338737108,1
ZBX-9387,Incorrect maintenance calculations on when DST changed to summer time,ZBX,Closed,Critical,62732.11611,2613.0,,0.0,0.0,0,41,32,5,3,41,32,0,0,0,3,3,22.1,0,5,44,30,True,True,True,0,0.2424479038733356,1
ZBXNEXT-282,Setting http headers,ZBXNEXT,Closed,Minor,41062.86111,1710.0,,0.0,0.0,0,28,27,7,0,28,27,0,0,10,1,11,44.1,0,103,156,119,True,True,True,0,0.2423430395786994,1
ZBXNEXT-3706,mysql utf8 vs utf8mb4,ZBXNEXT,Closed,Trivial,58929.03361,2455.0,,0.0,0.0,0,41,26,2,0,41,26,0,0,4,5,9,17.7,0,15,51,33,True,True,True,0,0.24219504985246576,1
OLMIS-2921,View specific CCE details,OLMIS,Done,Major,1218.204173,50.0,3124.0,36.0,12.0,12,19,20,0,0,19,20,1,2,2,4,9,15.9,12,23,43,34,False,False,True,1,0.24179954907021728,1
ZBXNEXT-8702,"VMware Discovery ""Cannot create group: group with the same name""",ZBXNEXT,Closed,Critical,85415.82556,3558.0,,0.0,0.0,0,41,21,4,1,41,21,0,0,4,0,6,19.1,0,11,67,32,True,True,True,0,0.2416040985323774,1
OLMIS-763,Reference Data Service,OLMIS,Done,Major,2845.226803,118.0,3541.0,109.75,70.0,20,15,14,0,0,15,14,4,1,2,4,13,17.0,20,20,41,33,False,False,True,1,0.2413290327049502,1
INTEGRATED-620,Multiple/bulk actions in the content navigator,INTEGRATED,Closed,Major,13996.76911,583.0,3727.0,63.25,93.0,20,29,34,0,0,29,34,0,2,3,0,5,13.4,20,20,29,29,False,False,True,1,0.24002204102227098,1
OLMIS-997,Associate non-emergency requisitions with the proper period,OLMIS,Done,Major,1341.550129,55.0,3461.0,96.0,34.0,20,19,18,0,0,19,18,2,0,1,4,7,28.8,20,68,82,78,False,False,True,1,0.23994867644454576,1
ZBX-24714,"When creating an Item, I cannot set a value when selecting Set value to, I can only use this field when exporting the Item in XML and editing the field manually and then importing back into the Host",ZBX,Closed,Trivial,6805.285,283.0,,26.36666667,12.0,12,44,32,2,0,44,32,0,0,2,1,3,15.6,12,4,31,20,True,True,True,0,0.23961569788510928,1
ZBXNEXT-413,Maintenance Period on Trigger/service level,ZBXNEXT,Closed,Major,72001.40417,3000.0,,0.0,0.0,0,32,21,1,0,32,21,0,0,3,4,9,28.8,0,50,165,67,True,True,True,0,0.2394730777500419,1
ZBX-2815,Missing audit records for different actions in zabbix GUI and API,ZBX,Closed,Critical,103270.9331,4302.0,,0.0,0.0,0,7,6,3,3,7,6,0,0,21,2,23,34.7,0,37,140,73,True,True,True,0,0.23865051011700789,1
ZBXNEXT-7689,Top hosts/items widget - improve item selection by LLD items ,ZBXNEXT,Closed,Trivial,23741.97778,989.0,,23.5,76.0,20,70,56,0,0,70,56,0,0,2,4,6,22.6,20,6,60,30,False,False,True,0,0.23853844925432,1
OLMIS-3614,Add lots and facilities SOH to View Order Details page,OLMIS,Done,Critical,1167.163481,48.0,,69.5,22.0,20,20,17,0,1,20,17,1,1,1,2,5,16.1,20,21,43,34,False,False,True,0,0.2384896118781017,1
ZBXNEXT-2976,"Support of tags for configuration entities like hosts, items, triggers, graphs, ...",ZBXNEXT,Closed,Trivial,49927.16306,2080.0,,0.0,0.0,0,80,44,1,0,80,44,0,0,4,3,9,23.6,0,30,83,49,True,True,True,0,0.23820386940950322,1
