Summary,Status,Priority,Created,Resolved,Labels,Description
HR > Leaves > Half leave report filter added,Done,Medium,2024-11-19 16:19:00,2024-11-25 14:21:00,"HR,KICKER",HR > Leaves > Half leave report filter added
HR > Dashboard > terminate widgets set,Done,Medium,2024-11-19 16:07:00,2024-11-25 14:21:00,"HR,KICKER",HR > Dashboard > terminate widgets set
HR > Attendance > Fetch on Dynamic date,Done,Medium,2024-11-19 16:06:00,2024-11-25 14:21:00,"HR,Date",HR > Attendance > Fetch on Dynamic date
Store > Ledger > Separate Reserve flow of Kicker,Done,Medium,2024-11-19 16:00:00,2024-11-25 14:21:00,"KICKER,STORE",Store > Ledger > Separate Reserve flow of Kicker
HR > Extra > Separate Previous Balance Alert,Done,Medium,2024-11-19 15:58:00,2024-11-25 14:21:00,HR,HR > Extra > Separate Previous Balance Alert
GlovesProduction > Worklot > Show all Ircode in tooltip,Done,Medium,2024-11-19 15:56:00,2024-11-25 14:22:00,"GK-PRODUCTION,KICKER",GlovesProduction > Worklot > Show all Ircode in tooltip
MainExport/Gk Production > Search Shipment > Shipment Detail screen after adding Proforma article detail are not showing,Done,Medium,2024-11-01 11:08:00,2024-11-01 11:38:00,"GK-PRODUCTION,KICKER",MainExport/Gk Production > Search Shipment > Shipment Detail screen after adding Proforma  article detail are not showing
GK Production > Search Order/Search Worklot > Reserved material not showing in Order BOM reports,Done,Medium,2024-11-01 10:53:00,2024-11-01 11:37:00,"GK-PRODUCTION,KICKER",GK Production > Search Order/Search Worklot > Reserved material not showing in Order BOM reports
HR > Member Detail > Attendance Tab > Attendance detail month filter drop down,Done,Medium,2024-11-01 10:47:00,2024-11-01 11:38:00,"HR,KICKER",HR > Member Detail > Attendance Tab > Attendance detail month filter drop down
HR > Manage Salary > salary screen information button show current month upon clicking,Done,Medium,2024-11-01 10:45:00,2024-11-01 11:38:00,"HR,KICKER",HR > Manage Salary > salary screen information button show current month upon clicking
HR >Wages > meal payment / extra wages status filter not working properly,Done,Medium,2024-10-28 18:59:00,2024-11-05 15:37:00,"HR,KICKER",HR >Wages > meal payment / extra wages status filter not working properly
Import > Search Import > Edit Import Proforma TAB > Import Proforma print issue,Done,Medium,2024-10-28 18:49:00,2024-10-31 11:39:00,"Import,KICKER",Import > Search Import > Edit Import Proforma TAB > Import Proforma print issue
